label_q,label_col,model,split,train_n,validation_n,test_n,train_positive_rate,validation_positive_rate,test_positive_rate,selected_threshold,threshold_selection_rule,notes,roc_auc,average_precision,f1,precision,recall,balanced_accuracy
80,high_dsv20_state_80,linear_svc_calibrated,test,1454,303,303,0.29160935350756534,0.39603960396039606,0.4752475247524752,0.248746,selected_from_multi_objective_candidates,,0.5690950384346611,0.4996298599933882,0.6824644549763034,0.5179856115107914,1.0,0.5786163522012578
80,high_dsv20_state_80,knn_classifier,validation,1454,303,303,0.29160935350756534,0.39603960396039606,0.4752475247524752,0.0,selected_from_multi_objective_candidates,,0.5624772313296903,0.5680929819523417,0.5673758865248227,0.39603960396039606,1.0,0.5
80,high_dsv20_state_80,knn_classifier,test,1454,303,303,0.29160935350756534,0.39603960396039606,0.4752475247524752,0.0,selected_from_multi_objective_candidates,,0.5450733752620545,0.4818067360768429,0.6442953020134228,0.4752475247524752,1.0,0.5
80,high_dsv20_state_80,gaussian_nb,validation,1454,303,303,0.29160935350756534,0.39603960396039606,0.4752475247524752,0.059382,selected_from_multi_objective_candidates,,0.4063296903460838,0.3751824727137276,0.5790754257907542,0.40893470790378006,0.9916666666666667,0.5258879781420766
80,high_dsv20_state_80,gaussian_nb,test,1454,303,303,0.29160935350756534,0.39603960396039606,0.4752475247524752,0.059382,selected_from_multi_objective_candidates,,0.4143081761006289,0.4208734858788055,0.6792452830188679,0.5142857142857142,1.0,0.5723270440251572
85,high_dsv20_state_85,majority_class,validation,1454,303,303,0.22764786795048142,0.3333333333333333,0.39933993399339934,,not_applicable,baseline,0.5,0.3333333333333333,0.0,0.0,0.0,0.5
85,high_dsv20_state_85,majority_class,test,1454,303,303,0.22764786795048142,0.3333333333333333,0.39933993399339934,,not_applicable,baseline,0.5,0.39933993399339934,0.0,0.0,0.0,0.5
85,high_dsv20_state_85,logistic_regression_default_0_5,validation,1454,303,303,0.22764786795048142,0.3333333333333333,0.39933993399339934,0.5,fixed_0_5,baseline,0.6124399568669738,0.39734313101632945,0.0,0.0,0.0,0.5
85,high_dsv20_state_85,logistic_regression_default_0_5,test,1454,303,303,0.22764786795048142,0.3333333333333333,0.39933993399339934,0.5,fixed_0_5,baseline,0.5340114431023523,0.3989113033649653,0.015037593984962405,0.08333333333333333,0.008264462809917356,0.47391245118517844
85,high_dsv20_state_85,logistic_regression_balanced_tuned,validation,1454,303,303,0.22764786795048142,0.3333333333333333,0.39933993399339934,0.375265,selected_from_multi_objective_candidates,baseline,0.5910695029899029,0.38247484736362036,0.5657142857142857,0.39759036144578314,0.9801980198019802,0.6188118811881188
